[09:29 02.02.2024 +00:00] Duration from: 6 - 7 часов => to: 6 - 7 часов | 80.250.80.58
[10:44 02.02.2024 +00:00] Duration from: 1 час 45 минут => to: 1 час 45 минут | 80.250.80.58
[07:09 03.02.2024 +00:00] Duration from: 2,5 - 3 часа => to: 2,5 - 3 часа | 80.250.80.58
[08:58 03.02.2024 +00:00] Duration from: 6 - 7 часов => to: 6 - 7 часов | 80.250.80.58
[11:09 04.02.2024 +00:00] Duration from: 3 => to: 3 - 4 | 80.250.80.58
[12:32 05.02.2024 +00:00] Duration from: 2,5 - 3 часа => to: 2,5 - 3 часа | 80.250.80.58
[12:34 05.02.2024 +00:00] Duration from: 5 - 6 часов => to: 5 - 6 часов | 80.250.80.58
[12:36 05.02.2024 +00:00] Duration from: 5,5 => to: 5,5 | 80.250.80.58
[12:38 05.02.2024 +00:00] Duration from: 2,5 - 3 часа => to: 2,5 - 3 часа | 80.250.80.58
[12:42 05.02.2024 +00:00] Duration from: 3 - 4 часа => to: 3 - 4 часа | 80.250.80.58
[12:44 05.02.2024 +00:00] Duration from: 3 часа => to: 3 часа | 80.250.80.58
[12:59 05.02.2024 +00:00] Duration from: 3,5 - 4 часа => to: 3,5 - 4 часа | 80.250.80.58
[09:18 06.02.2024 +00:00] Duration from: 5,5 - 6,5 часов => to: 5,5 - 6,5 часов | 80.250.80.58
[09:19 06.02.2024 +00:00] Duration from: 6 часов => to: 6 часов | 80.250.80.58
[09:23 06.02.2024 +00:00] Duration from: 2,5 - 4,5 часа => to: 2,5 - 4,5 часа | 80.250.80.58
[09:25 06.02.2024 +00:00] Duration from: 3 часа => to: 3 часа | 80.250.80.58
[09:31 06.02.2024 +00:00] Duration from: 3,5 - 4 часа => to: 3,5 - 4 часа | 80.250.80.58
[09:45 07.02.2024 +00:00] Duration from: 5 - 6 часов => to: 5 - 6 часов | 94.188.99.242
[09:48 07.02.2024 +00:00] Duration from: 3,5 - 4 часа => to: 3,5 - 4 часа | 94.188.99.242
[09:51 07.02.2024 +00:00] Duration from: 2 - 2,5 часа - автобусная экскурсия + свободное время в Юсуповском дворце  => to: 2 - 2,5 часа - автобусная экскурсия + свободное время в Юсуповском дворце  | 94.188.99.242
[09:53 07.02.2024 +00:00] Duration from: 2 часа => to: 2 часа | 94.188.99.242
[09:56 07.02.2024 +00:00] Duration from: 2 - 2,5 часа => to: 2 - 2,5 часа | 94.188.99.242
[10:05 07.02.2024 +00:00] Duration from:  => to: 2,5 - 3 часа | 94.188.99.242
[10:07 07.02.2024 +00:00] Duration from: 2,5 - 3 часа => to: 2,5 - 3 часа | 94.188.99.242
[10:12 07.02.2024 +00:00] Duration from: 10 - 11,5 часов => to: 10 - 11,5 часов | 94.188.99.242
[10:14 07.02.2024 +00:00] Duration from: 6 часов => to: 6 часов | 94.188.99.242
[10:16 07.02.2024 +00:00] Duration from: 5,5 - 6,5 часов => to: 5,5 - 6,5 часов | 94.188.99.242
[10:14 11.02.2024 +00:00] Duration from: 3 часов => to: 3 часов | 80.250.80.58
[10:22 11.02.2024 +00:00] Duration from: 3 часов => to: 3 часа | 80.250.80.58
[11:57 13.02.2024 +00:00] Duration from: 3 часа => to: 3 часа | 80.250.80.58
[12:11 13.02.2024 +00:00] Duration from: 3 часа => to: 3 часа | 188.243.131.138
[12:12 13.02.2024 +00:00] Duration from: 3 часа => to: 3 часа | 188.243.131.138
[12:13 13.02.2024 +00:00] Duration from: 3 часа => to: 3 часа | 188.243.131.138
[12:16 13.02.2024 +00:00] Duration from: 3 часа => to: 3 часа | 49.37.224.242
[12:16 13.02.2024 +00:00] Duration from: 3 часа => to: 3 часа | 49.37.224.242
[12:27 13.02.2024 +00:00] Duration from: 3 часа => to: 3 часа | 49.37.224.242
[12:31 13.02.2024 +00:00] Duration from: 3 часа => to: 3 часа | 49.37.224.242
[12:32 13.02.2024 +00:00] Duration from: 3 часа => to: 3 часа | 49.37.224.242
[21:40 14.02.2024 +00:00] Duration from: 15 => to: 15 | 188.243.131.138
[21:45 14.02.2024 +00:00] Duration from: 15 => to: 15 | 188.243.131.138
[11:22 15.02.2024 +00:00] Duration from: 2,5 - 3 часа => to: 2,5 - 3 часа | 178.129.89.86
[12:44 15.02.2024 +00:00] Duration from: 5,5 - 6 часов => to: 5,5 - 6 часов | 80.250.80.58
[15:39 16.02.2024 +00:00] Duration from: 2,5 - 3 часа => to: 2,5 - 3 часа | 80.250.80.58
[14:49 21.02.2024 +00:00] Duration from: 5,5 - 6,5 часов => to: 5,5 - 6,5 часов | 49.37.224.231
[12:42 23.02.2024 +00:00] Duration from: 2 часа => to: 2 часа | 185.188.61.45
[08:47 26.02.2024 +00:00] Duration from: 5,5 - 6,5 часов => to: 5,5 - 6,5 часов | 212.3.130.153
[11:06 29.02.2024 +00:00] Duration from: 2,5 - 3 часа => to: 2,5 - 3 часа | 80.250.80.58
[11:07 29.02.2024 +00:00] Duration from: 2 часа => to: 2 часа | 80.250.80.58
[11:08 29.02.2024 +00:00] Duration from: 5 - 6 часов => to: 5 - 6 часов | 80.250.80.58
[11:08 29.02.2024 +00:00] Duration from: 6 - 7 часов => to: 6 - 7 часов | 80.250.80.58
