[06:54 01.10.2023 +00:00] Duration from: 6,5 => to: 6,5 | 94.188.79.58
[11:02 03.10.2023 +00:00] Duration from: 3 часа => to: 3 часа | 95.110.86.225
[09:19 05.10.2023 +00:00] Duration from: 2,5 часа => to: 2,5 часа | 111.92.31.237
[09:20 05.10.2023 +00:00] Duration from: 2,5 часа => to: 2,5 часа | 111.92.31.237
[09:21 05.10.2023 +00:00] Duration from: 2,5 часа => to: 2,5 часа | 111.92.31.237
[10:33 05.10.2023 +00:00] Duration from: 2,5 => to: 2,5 | 80.250.80.58
[11:21 05.10.2023 +00:00] Duration from: 2,5 => to: 2,5 | 80.250.80.58
[11:36 05.10.2023 +00:00] Duration from: 6 => to: 6 | 80.250.80.58
[15:32 05.10.2023 +00:00] Duration from: 6 - 7 часов => to: 6 - 7 часов | 111.92.31.45
[16:25 05.10.2023 +00:00] Duration from: 2,5 - 3 часа => to: 2,5 - 3 часа | 80.250.80.58
[16:40 05.10.2023 +00:00] Duration from: 2,5 - 4,5 часа => to: 2,5 - 4,5 часа | 80.250.80.58
[16:42 05.10.2023 +00:00] Duration from: 6 - 7 часов => to: 6 - 7 часов | 80.250.80.58
[16:44 05.10.2023 +00:00] Duration from: 6 - 7 часов => to: 6 - 7 часов | 80.250.80.58
[16:46 05.10.2023 +00:00] Duration from: 4.5 - 6 часов => to: 4.5 - 6 часов | 80.250.80.58
[16:47 05.10.2023 +00:00] Duration from: 2,5 - 3 часа => to: 2,5 - 3 часа | 80.250.80.58
[16:52 05.10.2023 +00:00] Duration from: 2,5 - 3 часа => to: 2,5 - 3 часа | 80.250.80.58
[16:54 05.10.2023 +00:00] Duration from: 4 часа => to: 4 часа | 80.250.80.58
[16:57 05.10.2023 +00:00] Duration from: 5:30 => to: 5:30 | 80.250.80.58
[16:57 05.10.2023 +00:00] Duration from: 5:30 => to: 6 - 7 часов | 80.250.80.58
[16:59 05.10.2023 +00:00] Duration from: 6,5 => to: 6 - 6,5 часов | 80.250.80.58
[17:01 05.10.2023 +00:00] Duration from: 3 часа => to: 3 часа | 80.250.80.58
[17:02 05.10.2023 +00:00] Duration from: 5,5 - 6,5 часов => to: 5,5 - 6,5 часов | 80.250.80.58
[17:03 05.10.2023 +00:00] Duration from: 3 часа => to: 3 часа | 80.250.80.58
[17:04 05.10.2023 +00:00] Duration from: 10 - 11,5 часов => to: 10 - 11,5 часов | 80.250.80.58
[17:05 05.10.2023 +00:00] Duration from: 6 часов => to: 6 часов | 80.250.80.58
[17:06 05.10.2023 +00:00] Duration from: 5,5 => to: 5,5 - 6,5 часов | 80.250.80.58
[17:08 05.10.2023 +00:00] Duration from: 3 - 4 часа => to: 3 - 4 часа | 80.250.80.58
[17:10 05.10.2023 +00:00] Duration from: 3 часа => to: 2 - 2,5 часа - автобусная экскурсия + свободное время в Юсуповском дворце  | 80.250.80.58
[16:02 07.10.2023 +00:00] Duration from: 6 - 6,5 часов => to: 6 - 6,5 часов | 80.250.80.58
[17:12 07.10.2023 +00:00] Duration from: 6 - 6,5 часов => to: 6 - 6,5 часов | 80.250.80.58
[17:16 07.10.2023 +00:00] Duration from: 3 часа => to: 3 часа | 80.250.80.58
[17:16 07.10.2023 +00:00] Duration from: 3 часа => to: 3 часа | 80.250.80.58
[12:10 09.10.2023 +00:00] Duration from: 3 часа => to: 3 часа | 111.92.24.141
[12:31 09.10.2023 +00:00] Duration from: 2,5 - 3 часа => to: 2,5 - 3 часа | 111.92.24.141
[12:32 09.10.2023 +00:00] Duration from: 4 часа => to: 4 часа | 111.92.24.141
[12:32 09.10.2023 +00:00] Duration from: 6 - 7 часов => to: 6 - 7 часов | 111.92.24.141
[13:44 09.10.2023 +00:00] Duration from: 2,5 часа => to: 2,5 часа | 212.3.142.181
[09:48 16.10.2023 +00:00] Duration from: 3 => to: 3 | 188.243.131.138
[09:49 16.10.2023 +00:00] Duration from: 6 - 7 часов => to: 6 - 7 часов | 188.243.131.138
[11:43 16.10.2023 +00:00] Duration from: 7 - 8 часов => to: 7 - 8 часов | 111.92.26.189
[18:00 16.10.2023 +00:00] Duration from: 3 => to: 3 | 188.243.131.138
[18:00 16.10.2023 +00:00] Duration from: 6 - 7 часов => to: 6 - 7 часов | 188.243.131.138
[18:02 16.10.2023 +00:00] Duration from: 3 => to: 3 | 188.243.131.138
[18:03 16.10.2023 +00:00] Duration from: 6 - 7 часов => to: 6 - 7 часов | 188.243.131.138
[18:04 16.10.2023 +00:00] Duration from: 3 => to: 3 | 188.243.131.138
[18:04 16.10.2023 +00:00] Duration from: 3 => to: 3 | 188.243.131.138
[18:04 16.10.2023 +00:00] Duration from: 3 => to: 3 | 188.243.131.138
[05:16 17.10.2023 +00:00] Duration from: 7 часов => to: 7 часов | 111.92.30.21
[06:59 17.10.2023 +00:00] Duration from: 7 - 8 часов => to: 7 - 8 часов | 111.92.30.21
[07:04 17.10.2023 +00:00] Duration from: 7 часов => to: 7 часов | 111.92.30.21
[07:04 17.10.2023 +00:00] Duration from: 7 часов => to: 7 часов | 111.92.30.21
[08:39 18.10.2023 +00:00] Duration from: 6 - 7 часов => to: 6 - 7 часов | 94.233.240.188
[09:06 18.10.2023 +00:00] Duration from: 5,5 - 6 часов => to: 5,5 - 6 часов | 94.233.240.188
[09:08 18.10.2023 +00:00] Duration from: 4 часа => to: 4 часа | 94.233.240.188
[09:10 18.10.2023 +00:00] Duration from: 3 часа => to: 3 часа | 94.233.240.188
[09:16 18.10.2023 +00:00] Duration from: 3 - 4 часа => to: 3 - 4 часа | 94.233.240.188
[09:16 18.10.2023 +00:00] Duration from: 4 - 4,5 часа => to: 4 - 4,5 часа | 94.233.240.188
[09:17 18.10.2023 +00:00] Duration from: 4 - 4,5 часа => to: 4 - 4,5 часа | 94.233.240.188
[09:17 18.10.2023 +00:00] Duration from: 5 - 6,5 часов => to: 5 - 6,5 часов | 94.233.240.188
[09:20 18.10.2023 +00:00] Duration from: 6 - 7 часов => to: 6 - 7 часов | 94.233.240.188
[09:21 18.10.2023 +00:00] Duration from: 6 - 7 часов => to: 6 - 7 часов | 94.233.240.188
[09:21 18.10.2023 +00:00] Duration from: 5,5 - 7 часов => to: 5,5 - 7 часов | 94.233.240.188
[09:22 18.10.2023 +00:00] Duration from: 6 - 7 часов => to: 6 - 7 часов | 94.233.240.188
[09:23 18.10.2023 +00:00] Duration from: 6 - 7,5 часов => to: 6 - 7,5 часов | 94.233.240.188
[09:24 18.10.2023 +00:00] Duration from: 3,5 - 4,5 часа => to: 3,5 - 4,5 часа | 94.233.240.188
[09:26 18.10.2023 +00:00] Duration from: 5,5 - 6 часов => to: 5,5 - 6 часов | 94.233.240.188
[09:27 18.10.2023 +00:00] Duration from: 5,5 - 6,5 часов => to: 5,5 - 6,5 часов | 94.233.240.188
[09:32 18.10.2023 +00:00] Duration from: 3 часа => to: 3 часа | 94.233.240.188
[09:32 18.10.2023 +00:00] Duration from: 3,5 - 4,5 часа => to: 3,5 - 4,5 часа | 94.233.240.188
[14:33 18.10.2023 +00:00] Duration from: 6 - 7 часов => to: 6 - 7 часов | 188.243.131.138
[04:09 25.10.2023 +00:00] Duration from: 5 - 6,5 часов => to: 5 - 6,5 часов | 111.92.29.21
[18:12 25.10.2023 +00:00] Duration from: 6 - 6,5 часов => to: 6 - 6,5 часов | 80.250.80.58
[18:19 25.10.2023 +00:00] Duration from: 5,5 => to: 5,5 | 80.250.80.58
[18:27 25.10.2023 +00:00] Duration from: 3 - 4 часа => to: 3 - 4 часа | 80.250.80.58
[03:48 26.10.2023 +00:00] Duration from: 6 часов => to: 6 часов | 111.92.29.21
